,,rapes,rapesPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
,1,0,0,2,16.41,41.02,1394.59
,2,1,4.25,1,4.25,127.56,1955.95
,3,6,16.6,22,60.87,218.59,6167.51
,4,77,50.98,134,88.72,442.95,6867.42
,5,4,13.53,17,57.5,226.63,1890.88
,6,34,55.79,9,14.77,439.73,4909.26
,7,35,43.87,8,10.03,115.31,4747.58
,8,141,130.69,18,16.68,1544.24,8903.93
,9,29,90.25,6,18.67,722.02,7599.9
,10,21,77.73,20,74.03,2605.96,8839.53
,11,36,78.53,9,19.63,798.39,5508.05
,12,59,100.51,46,78.36,1476.93,7371
,13,0,0,7,15.36,89.94,3130.42
,14,30,16.72,73,40.7,374.07,4246.34
,15,2,13.24,4,26.47,112.5,3540.47
,16,146,49.94,97,33.18,772.77,6171.23
,17,2818,38.5,4443,60.7,2097.71,6164.95
,18,9,58.03,5,32.24,644.75,5338.49
,19,1,8.07,4,32.27,145.2,5461
,20,10,55.52,2,11.1,560.71,5618.16
,21,9,29.18,6,19.45,204.23,4869.19
,22,2,13.38,1,6.69,347.97,3693.79
,23,42,45.1,31,33.29,894.51,7091.62
,24,20,145.72,8,58.29,1143.9,9143.9
,25,24,86.13,0,0,724.95,4421.48
,26,2,17.4,1,8.7,1487.34,4722.97
,27,7,4.58,80,52.38,689.42,5948.83
,28,0,0,0,0,16.72,919.73
,29,14,68.92,0,0,649.83,5764.78
,30,4,28.91,13,93.97,346.97,5255.17
,31,3,18.38,10,61.28,1770.94,11428.4
,32,4,16.15,15,60.58,609.81,4458.44
,33,34,76.4,57,128.09,559.55,10379.78
,34,1,3.54,0,0,205.56,2810.46
,35,7,25.08,19,68.09,734.61,4672.83
,36,37,66.7,26,46.87,919.33,5227.58
,37,7,43.81,9,56.33,682.23,7554.61
,38,9,13.15,14,20.45,131.47,2543.13
,39,5,20.8,3,12.48,794.41,5939.36
,40,1,7.38,8,59.08,420.91,5095.26
,41,9,41.81,1,4.65,92.91,3121.66
,42,8,24.03,14,42.05,1087.25,7394.5
,43,2,13.97,0,0,237.45,1948.46
,44,16,46.03,3,8.63,212.87,6403.36
,45,357,110.19,357,110.19,984.96,7910.25
,46,785,51.31,2282,149.17,1279.6,5253.14
,47,11,12.82,0,0,256.34,2556.39
,48,10,31.02,0,0,142.7,4091.83
,49,45,67,50,74.45,753.42,4630.73
,50,0,0,5,21.91,122.69,2721.06
,51,15,50.34,3,10.07,1849.3,6474.24
,52,2,14.83,4,29.66,51.91,3374.37
,53,3,7.91,26,68.59,94.97,3498.22
,54,23,102.18,14,62.2,422.05,4567.06
,55,15,37.91,13,32.86,452.4,3389.19
,56,5,47.34,9,85.21,407.12,3739.82
,57,102,59.32,173,100.6,1693.42,6179.34
,58,1,7.46,1,7.46,462.24,5956.91
,59,3,13.82,2,9.21,115.14,2160.1
,60,4,13.68,1,3.42,78.65,3553.11
,61,8,63.04,1,7.88,985.03,4767.53
,62,13,14.89,5,5.73,131.68,3715.75
,63,11,72.14,7,45.9,1134.5,5292.15
,64,314,69.78,162,36,969.6,9943.53
,65,5,20.94,7,29.31,251.24,3668.03
,66,7,57.36,5,40.97,934.12,5735.82
,67,31,148.32,9,43.06,377.97,4550.02
,68,6,53.92,3,26.96,889.65,2039.9
,69,1,5.74,3,17.23,40.21,1654.22
,70,19,51.17,16,43.09,465.96,5063.56
,71,1,8.83,0,0,150.04,2338.92
,72,0,0,2,16.52,49.56,1032.55
,73,22,51.39,0,0,1812.62,3277.2
,74,2,11.23,2,11.23,129.13,2094.09
,75,479,104.44,604,131.7,1841.38,9577.37
,76,10,31.06,6,18.64,301.31,4038.14
,77,30,21.6,54,38.87,620.53,5352.95
,78,2,11.57,0,0,190.84,3302.11
,79,15,22.02,2,2.94,726.59,4174.62
,80,0,0,3,22.37,74.56,3183.72
,81,2,17,0,0,339.96,3739.59
,82,19,37.7,14,27.78,121.02,5247.7
,83,130,108.69,134,112.04,2127.02,10988.76
,84,4,36.38,2,18.19,809.39,6620.59
,85,2,9.72,1,4.86,199.2,2992.91
,86,5,47.14,1,9.43,1527.29,5317.24
,87,1,3.04,3,9.13,85.17,2570.42
,88,21,32.38,16,24.67,727.83,4976.1
,89,9,42.11,16,74.86,781.32,7265.84
,90,0,0,7,39.54,367.13,3885.91
,91,19,33.52,10,17.64,155.25,5691.4
,92,41,320.61,14,109.48,1634.34,24116.36
,93,1,3.81,2,7.61,251.23,2561.76
,94,5,14.35,16,45.92,367.33,5934.68
,95,3,16.99,1,5.66,560.56,4218.33
,96,137,100.91,30,22.1,1981.45,12349.83
,97,0,0,1,8.39,83.89,5041.52
,98,2,13.29,3,19.93,39.87,6199.75
,99,0,0,0,0,60.9,2243.88
,100,0,0,2,10.83,70.4,1348.5
,101,9,41.98,10,46.64,242.54,6436.57
,102,29,67.42,47,109.27,574.24,4296.38
,103,7,21.47,8,24.54,288.37,3647.57
,104,59,83.45,6,8.49,1497.92,7742.79
,105,28,119.98,21,89.99,681.32,7241.72
,106,2,16.18,1,8.09,194.19,2330.29
,107,8,35.33,7,30.91,185.48,3978.98
,108,1773,51.15,5119,147.68,2414.77,6756.86
,109,5,37.76,1,7.55,581.57,5188.82
,110,0,0,29,178.53,197,2074.61
,111,17,61.22,29,104.44,273.7,6766.78
,112,5,23.62,9,42.51,240.92,2078.51
,113,9,27.82,21,64.92,1085.11,3610.84
,114,16,42.82,14,37.46,291.69,2860.66
,115,30,40.15,30,40.15,587.55,5753.71
,116,1,8.34,0,0,650.49,9215.24
,117,4,21.17,6,31.75,465.66,4402.58
,118,0,0,0,0,221.64,5411.19
,119,12,36.13,37,111.41,216.8,3824.15
,120,112,57.16,74,37.76,795.08,7383.29
,121,10,70.93,0,0,361.75,7653.57
,122,28,163.47,27,157.63,525.42,8762.92
,123,22,51.31,2,4.66,1462.29,6068.38
,124,1,5.97,1,5.97,89.61,1153
,125,40,133.72,31,103.63,227.32,3309.49
,126,20,141.32,7,49.46,2649.8,15920.01
,127,0,0,1,7.75,46.52,806.39
,128,1,6.78,0,0,74.62,4782.25
,129,23,40.64,7,12.37,871.02,4621.91
,130,1,3.38,6,20.26,185.69,2386.9
,131,18,43.39,19,45.81,1501.93,7502.41
,132,14,44.43,4,12.7,1450.47,3980.07
,133,11,42.35,37,142.44,2344.56,4180.94
,134,8,37.07,0,0,64.88,2335.71
,135,9,23.81,0,0,129.64,3463.15
,136,5,32.6,6,39.12,267.33,2008.22
,137,5,40.23,0,0,160.93,3154.17
,138,1,3.22,1,3.22,80.5,1236.48
,139,2,9.87,4,19.75,399.86,3134.72
,140,1,7.67,1,7.67,69,1694.27
,141,53,134.07,62,156.83,4877.06,8770.11
,142,7,63.69,7,63.69,919.02,9190.17
,143,247,85.21,214,73.82,3235.45,12490.6
,144,1000,95.96,1324,127.05,1744.19,9015.27
,145,6,32.78,0,0,76.49,3999.56
,146,45,77.51,31,53.39,339.31,17859.42
,147,9,32,19,67.55,807,7341.18
,148,7,17.73,1,2.53,932.05,5891.14
,149,5,33.58,6,40.29,235.04,4378.48
,150,42,53.59,52,66.35,1195.53,7043.06
,151,1,4.94,4,19.76,1293.95,9116.95
,152,82,92.77,112,126.72,3239.2,8497.95
,153,20,48.56,8,19.42,364.19,4681.09
,154,6,11.57,11,21.22,179.38,2659.8
,155,4,28.91,6,43.37,43.37,3259.85
,156,0,0,0,0,161.69,6854.13
,157,0,0,4,33.8,168.99,2729.19
,158,2,5.11,16,40.86,178.75,5709.91
,159,10,66.14,4,26.46,231.48,4027.78
,160,4,12.91,2,6.45,103.28,2149.5
,161,20,30.4,41,62.32,203.69,6443.62
,162,30,30.33,26,26.28,448.84,7247.12
,163,3,24.85,17,140.81,356.17,4472.79
,164,2,12.01,0,0,672.35,7311.8
,165,6,44.94,9,67.41,981.2,7182.98
,166,7,44.38,2,12.68,190.21,2675.63
,167,9,40.21,12,53.61,446.77,3471.38
,168,1,5.29,1,5.29,31.75,1423.43
,169,18,34.42,18,34.42,868.12,4843.49
,170,13,15.43,35,41.55,225.56,2945.37
,171,200,45.87,243,55.73,1631.98,6595.13
,172,12,74.69,7,43.57,1419.06,8956.25
,173,28,29.99,23,24.63,519.47,6434.96
,174,4,10.27,4,10.27,87.26,3174.56
,175,18,19.14,4,4.25,294.6,4176.5
,176,1,7.6,0,0,53.2,1968.23
,177,8,19.63,10,24.54,282.16,4480.21
,178,17,37.19,3,6.56,958.15,6354.87
,179,515,110.46,420,90.08,1389.87,9710.83
,180,3,25.49,6,50.99,1240.65,5319.51
,181,8,38.55,22,106.02,674.67,6809.31
,182,2,18.94,2,18.94,161.02,4328.47
,183,3,13.67,9,41.02,332.73,4193.25
,184,43,99.97,6,13.95,620.71,4840.17
,185,2,12.43,12,74.59,372.95,4090
,186,3,22.02,1,7.34,587.33,4977.61
,187,0,0,0,0,210.79,3812.33
,188,10,41.02,8,32.82,500.47,9463.84
,189,0,0,0,0,75.72,1216.94
,190,34,66.73,10,19.63,345.45,4100.26
,191,11,83.97,13,99.24,1687.02,8763.36
,192,29,43.69,21,31.64,394.74,4197.55
,193,5,27.45,7,38.44,340.43,5221.83
,194,31,47.15,27,41.07,1446.56,5381.64
,195,6,19.87,23,76.16,271.52,3533.11
,196,8,47.43,0,0,788.52,6474.18
,197,20,170.98,1,8.55,393.26,4719.16
,198,21,83.96,14,55.97,1783.14,9719.33
,199,5,27.52,0,0,77.05,2140.89
,200,9,25.31,9,25.31,275.58,4729.9
,201,4,22.79,6,34.19,74.08,4348.07
,202,11,29.57,1,2.69,400.56,2510.89
,203,15,28.84,6,11.54,1357.38,7225.26
,204,1,6.26,0,0,56.31,2239.74
,205,4,28.67,7,50.17,394.21,3168
,206,19,44.13,10,23.23,445.94,4287.54
,207,0,0,4,26.11,522.13,6363.4
,208,2,12.89,0,0,96.69,2604.1
,209,10,26.92,18,48.45,293.41,3459.04
,210,0,0,1,7.95,71.54,1438.79
,211,3,14.23,0,0,37.95,2334.19
,212,11,45.49,3,12.41,516.96,6273.78
,213,4,25.4,6,38.1,82.54,4387.58
,214,26,101.33,22,85.74,1555.07,5214.75
,215,3,11.35,0,0,52.95,1879.8
,216,8,21.77,16,43.53,530.57,4674.45
,217,13,77.8,14,83.78,1358.47,10029.92
,218,3,18.81,4,25.08,94.07,2966.26
,219,2,6.78,1,3.39,88.16,2170.08
,220,5,42.8,0,0,316.75,5624.52
,221,28,30.95,44,48.63,1267.73,4148.02
,222,3,7.81,7,18.21,106.68,2016.5
,223,10,32.54,2,6.51,191.96,3702.5
,224,6,35.72,12,71.45,142.9,3876.15
,225,21,36.09,5,8.59,536.18,6743.54
,226,17,89.76,0,0,1678.99,4102.43
,227,3,13.92,3,13.92,241.28,2032.29
,228,5,33.55,7,46.97,972.89,7722.76
,229,2,18.13,0,0,90.65,2085.03
,230,3,14.42,6,28.83,1287.84,3061.03
,231,7,14.26,5,10.18,136.48,5457.1
,232,28,60.3,5,10.77,488.86,5127.6
,233,6,41.55,8,55.41,609.46,8899.51
,234,17,26.33,3,4.65,599.45,5636.7
,235,16,81.16,4,20.29,2018.97,6665.65
,236,0,0,0,0,33.66,3322.75
,237,9,59.12,0,0,216.78,4920.19
,238,7,20.76,16,47.44,136.4,2570.87
,239,129,84.7,72,47.28,687.49,6957.6
,240,1,3.65,5,18.26,91.31,3360.24
,241,18,45.89,6,15.3,1664.84,3049.23
,242,10,16.04,23,36.89,293.54,4252.35
,243,6,15.34,6,15.34,48.58,3809.48
,244,12,14.53,1,1.21,283.39,3105.21
,245,2,11.21,1,5.61,302.76,2315.54
,246,1,4.52,26,117.6,918.22,4758.46
,247,2,14.41,1,7.2,86.45,3385.92
,248,16,66.54,43,178.84,1185.33,8754.78
,249,24,28.4,21,24.85,369.24,3235.58
,250,23,48.81,5,10.61,2047.92,6650.96
,251,19,19.42,27,27.6,266.81,3574.9
,252,1,9.4,5,47.02,84.64,3348.07
,253,23,70.54,9,27.6,644.09,7560.42
,254,29,42.33,14,20.43,458.28,5702.23
