,rapes,rapesPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop,imputed_rapes,imputed_rapesR,imputed_ViolentCrimesPerPop,ViolentCrimesPerPopR,imputed_arsons,arsonsR,imputed_arsonsPerPop,arsonsPerPopR,imputed_nonViolPerPop,nonViolPerPopR,imputed_rapesPerPop,rapesPerPopR,,,,imputed_rapes,imputed_ViolentCrimesPerPop,imputed_arsons,imputed_arsonsPerPop,imputed_nonViolPerPop,imputed_rapesPerPop,
1,0,0,2,16.41,41.02,1394.59,0,0,41.02,41.02,2,2,16.41,16.41,1394.59,1394.59,0,0,,,,0,41.02,2,16.41,1394.59,0,
2,1,4.25,1,4.25,127.56,1955.95,1,1,127.56,127.56,1,1,4.25,4.25,1955.95,1955.95,4.25,4.25,,,,1,127.56,1,4.25,1955.95,4.25,
3,6,16.6,22,60.87,218.59,6167.51,6,6,218.59,218.59,22,22,60.87,60.87,6167.51,6167.51,16.6,16.6,,,,6,218.59,22,60.87,6167.51,16.6,
4,10,57.86,NA,NA,306.64,NA,10,10,306.64,306.64,0,7,0,15.36,2246.14,7781.56,57.86,57.86,,,,10,306.64,0,0,2246.14,57.86,
5,NA,NA,5,40.05,NA,9988.79,0,1,223.06,517.18,5,5,40.05,40.05,9988.79,9988.79,0,46.48,,,,0,223.06,5,40.05,9988.79,0,
6,77,50.98,134,88.72,442.95,6867.42,77,77,442.95,442.95,134,134,88.72,88.72,6867.42,6867.42,50.98,50.98,,,,77,442.95,134,88.72,6867.42,50.98,
7,4,13.53,17,57.5,226.63,1890.88,4,4,226.63,226.63,17,17,57.5,57.5,1890.88,1890.88,13.53,13.53,,,,4,226.63,17,57.5,1890.88,13.53,
8,34,55.79,9,14.77,439.73,4909.26,34,34,439.73,439.73,9,9,14.77,14.77,4909.26,4909.26,55.79,55.79,,,,34,439.73,9,14.77,4909.26,55.79,
9,35,43.87,8,10.03,115.31,4747.58,35,35,115.31,115.31,8,8,10.03,10.03,4747.58,4747.58,43.87,43.87,,,,35,115.31,8,10.03,4747.58,43.87,
10,141,130.69,18,16.68,1544.24,8903.93,141,141,1544.24,1544.24,18,18,16.68,16.68,8903.93,8903.93,130.69,130.69,,,,141,1544.24,18,16.68,8903.93,130.69,
11,29,90.25,6,18.67,722.02,7599.9,29,29,722.02,722.02,6,6,18.67,18.67,7599.9,7599.9,90.25,90.25,,,,29,722.02,6,18.67,7599.9,90.25,
12,21,77.73,20,74.03,2605.96,8839.53,21,21,2605.96,2605.96,20,20,74.03,74.03,8839.53,8839.53,77.73,77.73,,,,21,2605.96,20,74.03,8839.53,77.73,
13,36,78.53,9,19.63,798.39,5508.05,36,36,798.39,798.39,9,9,19.63,19.63,5508.05,5508.05,78.53,78.53,,,,36,798.39,9,19.63,5508.05,78.53,
14,59,100.51,46,78.36,1476.93,7371,59,59,1476.93,1476.93,46,46,78.36,78.36,7371,7371,100.51,100.51,,,,59,1476.93,46,78.36,7371,100.51,
15,NA,NA,1,7.31,NA,2720.49,0,11,223.06,446.77,1,1,7.31,7.31,2720.49,2720.49,0,19.63,,,,0,223.06,1,7.31,2720.49,0,
16,NA,NA,7,20.66,NA,5933.23,0,20,223.06,82.59,7,7,20.66,20.66,5933.23,5933.23,0,13.5,,,,0,223.06,7,20.66,5933.23,0,
17,0,0,7,15.36,89.94,3130.42,0,0,89.94,89.94,7,7,15.36,15.36,3130.42,3130.42,0,0,,,,0,89.94,7,15.36,3130.42,0,
18,30,16.72,73,40.7,374.07,4246.34,30,30,374.07,374.07,73,73,40.7,40.7,4246.34,4246.34,16.72,16.72,,,,30,374.07,73,40.7,4246.34,16.72,
19,2,13.24,4,26.47,112.5,3540.47,2,2,112.5,112.5,4,4,26.47,26.47,3540.47,3540.47,13.24,13.24,,,,2,112.5,4,26.47,3540.47,13.24,
20,146,49.94,97,33.18,772.77,6171.23,146,146,772.77,772.77,97,97,33.18,33.18,6171.23,6171.23,49.94,49.94,,,,146,772.77,97,33.18,6171.23,49.94,
