nominal,nominal,nominal,nominal,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,,,,,,,,
communityname,state,countyCode,communityCode,LemasGangUnitDeploy,arsons,rapesPerPop,murders,rapes,nonViolPerPop,,,,,,,,
BerkeleyHeightstownship,NJ,39,5320,?,0,0,2,41.02,1394.59,,,,,,,,
Marpletownship,PA,45,47616,?,1,4.25,1,127.56,1955.95,,,-- arsons: number of arsons in 1995 (numeric - expected to be integer) potential GOAL attribute (to be predicted),,,,,
Tigardcity,OR,?,?,?,6,16.6,22,218.59,6167.51,,,Ê-- autoTheftPerPop: number of auto thefts per 100K population (numeric - decimal) potential GOAL attribute (to be predicted),,,,,
Gloversvillecity,NY,35,29443,?,10,57.86,?,306.64,?,,,,,,,,
Bemidjicity,MN,7,5068,?,?,?,5,?,9988.79,,,Ê-- larcPerPop: number of larcenies per 100K population (numeric - decimal) potential GOAL attribute (to be predicted),,,,,
Springfieldcity,MO,?,?,?,77,50.98,134,442.95,6867.42,,,Ê-- murders: number of murders in 1995 (numeric - expected to be integer) potential GOAL attribute (to be predicted),,,,,
Norwoodtown,MA,21,50250,?,4,13.53,17,226.63,1890.88,,,Ê-- PolicOperBudg: police operating budget (numeric - may be integer),,,,,
Andersoncity,IN,?,?,?,34,55.79,9,439.73,4909.26,,,,,,,,
Fargocity,ND,17,25700,?,35,43.87,8,115.31,4747.58,,,,,,,,
Wacocity,TX,?,?,10,141,130.69,18,1544.24,8903.93,,,,,,,,
Shermancity,TX,?,?,?,29,90.25,6,722.02,7599.9,,,,,,,,
SanPablocity,CA,?,?,?,21,77.73,20,2605.96,8839.53,,,,,,,,
BowlingGreencity,KY,?,?,?,36,78.53,9,798.39,5508.05,,,,,,,,
PineBluffcity,AR,?,?,10,59,100.51,46,1476.93,7371,,,,,,,,
NewUlmcity,MN,15,46042,?,?,?,1,?,2720.49,,,,,,,,
