"","rapes","rapesPerPop","arsons","arsonsPerPop","ViolentCrimesPerPop","nonViolPerPop"
"1","1","4.25","1","4.25","127.56","1955.95"
"2","6","16.6","22","60.87","218.59","6167.51"
"3","10","57.86",NA,NA,"306.64",NA
"4",NA,NA,"5","40.05",NA,"9988.79"
"5","77","50.98","134","88.72","442.95","6867.42"
"6","4","13.53","17","57.5","226.63","1890.88"
"7","34","55.79","9","14.77","439.73","4909.26"
"8","35","43.87","8","10.03","115.31","4747.58"
"9","141","130.69","18","16.68","1544.24","8903.93"
"10","29","90.25","6","18.67","722.02","7599.9"
"11","21","77.73","20","74.03","2605.96","8839.53"
"12","36","78.53","9","19.63","798.39","5508.05"
"13","59","100.51","46","78.36","1476.93","7371"
"14",NA,NA,"1","7.31",NA,"2720.49"
"15",NA,NA,"7","20.66",NA,"5933.23"
"16","0","0","7","15.36","89.94","3130.42"
"17","30","16.72","73","40.7","374.07","4246.34"
"18","2","13.24","4","26.47","112.5","3540.47"
"19","146","49.94","97","33.18","772.77","6171.23"
"20",NA,NA,"62","102.13",NA,"3131.33"
"21","2818","38.5","4443","60.7","2097.71","6164.95"
"22","9","58.03","5","32.24","644.75","5338.49"
"23","1","8.07","4","32.27","145.2","5461"
"24","10","55.52","2","11.1","560.71","5618.16"
"25","9","29.18","6","19.45","204.23","4869.19"
"26","2","13.38","1","6.69","347.97","3693.79"
"27","42","45.1","31","33.29","894.51","7091.62"
"28","20","145.72","8","58.29","1143.9","9143.9"
"29","24","86.13","0","0","724.95","4421.48"
"30","2","17.4","1","8.7","1487.34","4722.97"
"31","7","4.58","80","52.38","689.42","5948.83"
"32","3","14.98",NA,NA,"49.93",NA
"33","0","0","0","0","16.72","919.73"
"34","14","68.92","0","0","649.83","5764.78"
"35","4","28.91","13","93.97","346.97","5255.17"
"36","3","18.38","10","61.28","1770.94","11428.4"
"37","4","16.15","15","60.58","609.81","4458.44"
"38","34","76.4","57","128.09","559.55","10379.78"
"39","1","3.54","0","0","205.56","2810.46"
"40","43","47.57",NA,NA,"512.19",NA
"41","7","25.08","19","68.09","734.61","4672.83"
"42",NA,NA,"60","86.12",NA,"6269.29"
