"","population","racepctblack","racePctWhite","numbUrban","medIncome","NumUnderPov","NumImmig","murders","rapes","ViolentCrimesPerPop"
"1",11980,1.37,91.78,11980,75122,227,1277,0,"0","41.02"
"2",23123,0.8,95.57,23123,47917,885,1920,0,"1","127.56"
"3",29344,0.74,94.33,29344,35669,1389,1468,3,"6","218.59"
"4",16656,1.7,97.35,0,20580,2831,339,0,"10","306.64"
"5",11245,0.53,89.16,0,17390,2855,196,0,NA,NA
"6",140494,2.51,95.65,140494,21577,23223,2091,7,"77","442.95"
"7",28700,1.6,96.57,28700,42805,1126,2637,0,"4","226.63"
"8",59459,14.2,84.87,59449,23221,10320,517,8,"34","439.73"
"9",74111,0.35,97.11,74115,25326,9603,1474,0,"35","115.31"
"10",103590,23.14,67.6,103590,17852,27767,4793,29,"141","1544.24"
"11",31601,12.63,83.22,31596,24763,4698,938,1,"29","722.02"
"12",25158,21.34,49.42,25158,25479,4689,6645,12,"21","2605.96"
"13",40641,12.18,86.39,0,20043,8759,626,3,"36","798.39"
"14",57140,53.52,45.65,57140,19143,15283,407,16,"59","1476.93"
"15",13132,0.06,99.21,0,25797,863,119,0,NA,NA
"16",30954,2.52,94.39,30954,37856,1874,812,0,NA,NA
"17",45532,2.65,95.72,43944,44635,1262,2377,1,"0","89.94"
"18",180038,1.3,74.02,180038,34372,25484,81352,9,"30","374.07"
"19",14869,2.28,94.74,14882,49851,340,704,0,"2","112.5"
"20",261721,8.41,82.64,261763,35048,21272,20006,7,"146","772.77"
"21",50889,1.61,95.66,50889,51314,1681,1330,0,NA,NA
"22",7322564,28.71,52.26,7322564,29823,1384994,2082931,1946,"2818","2097.71"
"23",26436,18.97,53.6,26436,29043,2328,4849,2,"9","644.75"
"24",12183,0.41,97.55,0,32221,728,376,0,"1","145.2"
"25",16023,13.79,83.94,16023,34934,904,742,0,"10","560.71"
"26",24692,0.06,97.72,0,26198,2120,354,0,"9","204.23"
"27",13842,0.41,94.65,13842,45892,460,703,1,"2","347.97"
"28",88693,2.92,87.36,88693,28108,11184,8610,8,"42","894.51"
"29",11235,1.89,82.45,0,23258,1680,695,2,"20","1143.9"
"30",28259,42.15,56.94,28259,22052,6410,187,7,"24","724.95"
"31",11162,26.96,72.26,0,14874,4173,25,0,"2","1487.34"
"32",122899,0.12,70.83,122899,18395,45126,29945,21,"7","689.42"
"33",20714,1.46,93.15,0,22166,2756,1250,0,"3","49.93"
"34",11856,0.37,98.84,3929,36618,436,306,0,"0","16.72"
"35",19050,1.17,94.31,0,34372,1661,327,1,"14","649.83"
"36",11961,0.24,88.57,0,27230,1486,976,0,"4","346.97"
"37",15655,52.88,46.59,0,18499,3699,181,6,"3","1770.94"
"38",23302,7.95,82.42,23302,51594,973,1672,1,"4","609.81"
"39",45226,59.63,39.76,0,18060,14232,250,16,"34","559.55"
"40",26167,0.94,91.3,26167,54658,713,3283,1,"1","205.56"
"41",84474,4.8,78.81,84474,23534,14737,4542,8,"43","512.19"
"42",27623,5.26,94.08,27623,21688,4626,398,0,"7","734.61"
"43",71166,42.2,51.25,71166,21962,18222,1641,19,NA,NA
"44",52141,44.58,54.68,39076,26125,8864,433,9,"37","919.33"
"45",16162,36.84,62.7,0,22446,2504,142,2,"7","682.23"
"46",66473,0.63,97.81,66473,38742,2470,3133,2,"9","131.47"
"47",23170,0.7,95.77,23170,53419,1411,2587,0,"5","794.41"
"48",12849,1.85,62.03,0,16180,4767,644,1,"1","420.91"
"49",63891,2.72,93.52,63891,31103,4498,2230,1,NA,NA
"50",15440,0.31,98.63,0,36091,746,158,0,NA,NA
"51",18540,0.09,99.39,0,19985,3398,49,1,"9","92.91"
"52",31971,1.7,91.28,31971,54348,2105,11133,1,"8","1087.25"
"53",14790,16.34,81.75,14790,43376,373,1522,0,"2","237.45"
"54",34075,4.22,94.72,0,22439,5667,256,1,"16","212.87"
"55",332943,19.7,76.96,332943,24819,62426,9263,45,"357","984.96"
"56",1585577,39.86,53.52,1585577,24603,313374,104814,439,"785","1279.6"
"57",82585,2.08,92.78,82585,59719,3335,10758,1,"11","256.34"
"58",29721,3.52,95.13,29721,32704,1977,1797,0,"10","142.7"
"59",66049,26.41,72.45,66049,23726,9889,1108,3,"45","753.42"
"60",21847,17.14,81.71,21847,36770,1974,389,2,"0","122.69"
"61",26184,34.26,65.09,26184,19433,4922,182,8,"15","1849.3"
"62",101484,5.83,87.21,101484,35934,7771,4731,5,"33","566.64"
"63",24656,24.63,73,24656,36995,1174,833,2,NA,NA
"64",12727,0.11,99.03,12727,23056,1323,81,0,"2","51.91"
"65",33626,0.92,96.35,33626,49143,1165,1154,0,"3","94.97"
"66",22430,0.28,98.83,0,31235,1632,594,0,"23","422.05"
"67",13352,2.55,97.01,9827,32713,1116,130,0,"15","452.4"
"68",10637,9.69,89.52,10637,23773,1322,244,2,"5","407.12"
"69",165121,15.78,82.73,165121,19923,32189,3274,14,"102","1693.42"
"70",10836,5.59,92.94,0,25649,903,172,1,"1","462.24"
"71",86335,1.61,94.71,86335,41736,3154,3491,4,NA,NA
"72",21160,11.1,83.79,21160,58194,313,2311,1,"3","115.14"
"73",29208,1.41,96.54,29208,45481,513,3194,0,"4","78.65"
"74",12839,7.24,91.65,0,20569,2257,96,1,"8","985.03"
"75",75058,0.19,97.05,75058,43971,3141,2193,0,"13","131.68"
"76",51464,2.53,92.97,51464,52208,2494,3320,0,NA,NA
"77",22608,0.69,98.03,18750,42549,968,464,0,NA,NA
"78",14988,9.78,84.1,0,18357,3325,191,4,"11","1134.5"
"79",405390,4.28,75.25,405312,21748,79287,43397,44,"314","969.6"
"80",23330,7.36,88.58,14937,41944,927,970,1,"5","251.24"
