"","racepctblack","racePctWhite","PctImmigRec5","PctRecImmig5","rapes","rapesPerPop","arsons","arsonsPerPop","ViolentCrimesPerPop","nonViolPerPop"
"1",1.37,91.78,13,1.39,"0","0","2","16.41","41.02","1394.59"
"2",0.8,95.57,8.65,0.72,"1","4.25","1","4.25","127.56","1955.95"
"3",0.74,94.33,23.98,1.2,"6","16.6","22","60.87","218.59","6167.51"
"6",2.51,95.65,30.56,0.45,"77","50.98","134","88.72","442.95","6867.42"
"7",1.6,96.57,16.27,1.49,"4","13.53","17","57.5","226.63","1890.88"
"8",14.2,84.87,22.82,0.2,"34","55.79","9","14.77","439.73","4909.26"
"9",0.35,97.11,33.58,0.67,"35","43.87","8","10.03","115.31","4747.58"
"10",23.14,67.6,23.08,1.07,"141","130.69","18","16.68","1544.24","8903.93"
"11",12.63,83.22,35.39,1.05,"29","90.25","6","18.67","722.02","7599.9"
"12",21.34,49.42,32.75,8.65,"21","77.73","20","74.03","2605.96","8839.53"
"13",12.18,86.39,49.52,0.76,"36","78.53","9","19.63","798.39","5508.05"
"14",53.52,45.65,32.43,0.23,"59","100.51","46","78.36","1476.93","7371"
"17",2.65,95.72,11.7,0.61,"0","0","7","15.36","89.94","3130.42"
"18",1.3,74.02,41.41,18.71,"30","16.72","73","40.7","374.07","4246.34"
"19",2.28,94.74,16.19,0.77,"2","13.24","4","26.47","112.5","3540.47"
"20",8.41,82.64,30.13,2.3,"146","49.94","97","33.18","772.77","6171.23"
"22",28.71,52.26,25.51,7.26,"2818","38.5","4443","60.7","2097.71","6164.95"
"23",18.97,53.6,18.31,3.36,"9","58.03","5","32.24","644.75","5338.49"
"24",0.41,97.55,23.14,0.71,"1","8.07","4","32.27","145.2","5461"
"25",13.79,83.94,12.4,0.57,"10","55.52","2","11.1","560.71","5618.16"
"26",0.06,97.72,23.73,0.34,"9","29.18","6","19.45","204.23","4869.19"
"27",0.41,94.65,5.26,0.27,"2","13.38","1","6.69","347.97","3693.79"
"28",2.92,87.36,31.36,3.04,"42","45.1","31","33.29","894.51","7091.62"
"29",1.89,82.45,30.07,1.86,"20","145.72","8","58.29","1143.9","9143.9"
"30",42.15,56.94,5.88,0.04,"24","86.13","0","0","724.95","4421.48"
"31",26.96,72.26,0,0,"2","17.4","1","8.7","1487.34","4722.97"
"32",0.12,70.83,21.62,5.27,"7","4.58","80","52.38","689.42","5948.83"
"34",0.37,98.84,4.9,0.13,"0","0","0","0","16.72","919.73"
"35",1.17,94.31,0,0,"14","68.92","0","0","649.83","5764.78"
"36",0.24,88.57,20.59,1.68,"4","28.91","13","93.97","346.97","5255.17"
"37",52.88,46.59,26.52,0.31,"3","18.38","10","61.28","1770.94","11428.4"
"38",7.95,82.42,16.87,1.21,"4","16.15","15","60.58","609.81","4458.44"
"39",59.63,39.76,32.8,0.18,"34","76.4","57","128.09","559.55","10379.78"
"40",0.94,91.3,10.63,1.33,"1","3.54","0","0","205.56","2810.46"
"42",5.26,94.08,4.77,0.07,"7","25.08","19","68.09","734.61","4672.83"
"44",44.58,54.68,16.63,0.14,"37","66.7","26","46.87","919.33","5227.58"
"45",36.84,62.7,4.23,0.04,"7","43.81","9","56.33","682.23","7554.61"
"46",0.63,97.81,11.78,0.56,"9","13.15","14","20.45","131.47","2543.13"
"47",0.7,95.77,20.76,2.32,"5","20.8","3","12.48","794.41","5939.36"
"48",1.85,62.03,3.26,0.16,"1","7.38","8","59.08","420.91","5095.26"
"51",0.09,99.39,0,0,"9","41.81","1","4.65","92.91","3121.66"
"52",1.7,91.28,22.29,7.76,"8","24.03","14","42.05","1087.25","7394.5"
"53",16.34,81.75,12.29,1.26,"2","13.97","0","0","237.45","1948.46"
"54",4.22,94.72,13.67,0.1,"16","46.03","3","8.63","212.87","6403.36"
"55",19.7,76.96,27.39,0.76,"357","110.19","357","110.19","984.96","7910.25"
"56",39.86,53.52,24.3,1.61,"785","51.31","2282","149.17","1279.6","5253.14"
"57",2.08,92.78,21.86,2.85,"11","12.82","0","0","256.34","2556.39"
"58",3.52,95.13,7.12,0.43,"10","31.02","0","0","142.7","4091.83"
"59",26.41,72.45,43.05,0.72,"45","67","50","74.45","753.42","4630.73"
"60",17.14,81.71,53.98,0.96,"0","0","5","21.91","122.69","2721.06"
"61",34.26,65.09,19.78,0.14,"15","50.34","3","10.07","1849.3","6474.24"
"64",0.11,99.03,0,0,"2","14.83","4","29.66","51.91","3374.37"
"65",0.92,96.35,21.14,0.73,"3","7.91","26","68.59","94.97","3498.22"
"66",0.28,98.83,21.38,0.57,"23","102.18","14","62.2","422.05","4567.06"
"67",2.55,97.01,3.85,0.04,"15","37.91","13","32.86","452.4","3389.19"
"68",9.69,89.52,15.57,0.36,"5","47.34","9","85.21","407.12","3739.82"
"69",15.78,82.73,44.26,0.88,"102","59.32","173","100.6","1693.42","6179.34"
"70",5.59,92.94,34.88,0.55,"1","7.46","1","7.46","462.24","5956.91"
"72",11.1,83.79,14.28,1.56,"3","13.82","2","9.21","115.14","2160.1"
"73",1.41,96.54,7.51,0.82,"4","13.68","1","3.42","78.65","3553.11"
"74",7.24,91.65,23.96,0.18,"8","63.04","1","7.88","985.03","4767.53"
"75",0.19,97.05,13.27,0.39,"13","14.89","5","5.73","131.68","3715.75"
"78",9.78,84.1,17.28,0.22,"11","72.14","7","45.9","1134.5","5292.15"
